coalition,value,iteration
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9663,14
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9664,14
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9675,14
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9665,14
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9677,14
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9662,14
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9657,14
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9675,14
"(6, 7, 9, 8, 2, 4, 5, 0, 1, 3)",0.968,15
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9672,15
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9673,15
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9674,15
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9673,15
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9688,15
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9674,15
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9673,15
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9684,15
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9686,15
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9684,15
"(2, 6, 8, 7, 0, 3, 1, 9, 5, 4)",0.9692,16
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9699,16
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9681,16
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.969,16
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9682,16
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9697,16
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9693,16
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9694,16
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9682,16
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9683,16
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9689,16
"(2, 6, 3, 8, 7, 1, 0, 4, 5, 9)",0.9694,17
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9707,17
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9695,17
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9697,17
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9693,17
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9688,17
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9707,17
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.97,17
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9693,17
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9691,17
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9692,17
"(2, 8, 3, 7, 0, 9, 6, 1, 4, 5)",0.9704,18
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9707,18
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9704,18
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9703,18
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9699,18
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9708,18
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.97,18
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9697,18
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9708,18
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9703,18
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9703,18
"(0, 5, 9, 1, 6, 8, 4, 2, 7, 3)",0.971,19
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9712,19
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9711,19
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9708,19
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9719,19
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9707,19
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.971,19
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9714,19
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9715,19
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9701,19
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9713,19
"(5, 2, 0, 9, 6, 3, 4, 1, 7, 8)",0.9715,20
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9714,20
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9716,20
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9715,20
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9711,20
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9712,20
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9712,20
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9713,20
