coalition,value,iteration
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9618,12
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9592,12
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9551,12
"(5, 6, 3, 1, 0, 4, 9, 7, 8, 2)",0.9606,13
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9602,13
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9583,13
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9574,13
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9618,13
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9608,13
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9593,13
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9606,13
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9597,13
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9578,13
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9626,13
"(8, 9, 4, 3, 0, 5, 2, 7, 6, 1)",0.961,14
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9588,14
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.962,14
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9598,14
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9588,14
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9615,14
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9608,14
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9633,14
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9612,14
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.96,14
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.962,14
"(6, 7, 9, 8, 2, 4, 5, 0, 1, 3)",0.9625,15
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9614,15
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9617,15
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9629,15
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9601,15
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9642,15
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9621,15
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9628,15
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9636,15
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9637,15
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9614,15
"(2, 6, 8, 7, 0, 3, 1, 9, 5, 4)",0.964,16
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9652,16
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9628,16
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9612,16
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9635,16
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9643,16
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9623,16
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9648,16
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9646,16
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9642,16
