coalition,value,iteration
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8777,32
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8492,32
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8695,32
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8596,32
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8578,32
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8598,32
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.856,32
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8763,32
"(3, 8, 4, 7, 6, 0, 2, 9, 5, 1)",0.8722,33
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8647,33
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8681,33
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8703,33
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8669,33
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8675,33
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.874,33
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8785,33
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8624,33
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8681,33
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8802,33
"(5, 9, 6, 8, 7, 2, 1, 3, 4, 0)",0.8654,34
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8569,34
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8496,34
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.861,34
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8596,34
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8587,34
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8756,34
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8771,34
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8498,34
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8604,34
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8676,34
"(6, 1, 0, 2, 4, 5, 7, 3, 9, 8)",0.8607,35
