coalition,value,iteration
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9697,18
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9695,18
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9703,18
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.969,18
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9691,18
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9709,18
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9693,18
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9701,18
"(0, 5, 9, 1, 6, 8, 4, 2, 7, 3)",0.971,19
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9713,19
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9712,19
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9704,19
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.972,19
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9707,19
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9711,19
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9703,19
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9718,19
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9708,19
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9713,19
"(5, 2, 0, 9, 6, 3, 4, 1, 7, 8)",0.9713,20
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.971,20
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9719,20
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9717,20
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9709,20
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9714,20
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9715,20
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9714,20
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.972,20
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.971,20
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9711,20
"(1, 6, 9, 3, 2, 8, 0, 5, 4, 7)",0.9719,21
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9724,21
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9717,21
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9718,21
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9718,21
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9724,21
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9717,21
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9722,21
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9718,21
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9714,21
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9712,21
"(9, 7, 2, 6, 0, 5, 1, 3, 8, 4)",0.9731,22
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9731,22
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9724,22
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9727,22
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9723,22
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9729,22
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9726,22
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.973,22
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9728,22
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9725,22
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9727,22
"(1, 4, 5, 0, 3, 6, 9, 8, 7, 2)",0.9724,23
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.973,23
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9732,23
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9722,23
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9727,23
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9728,23
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9722,23
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9722,23
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9723,23
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9724,23
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9731,23
"(3, 8, 5, 2, 7, 9, 6, 1, 4, 0)",0.9736,24
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9734,24
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9732,24
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9735,24
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9731,24
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9731,24
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9731,24
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9733,24
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9734,24
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9732,24
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9739,24
"(3, 0, 7, 2, 4, 1, 6, 9, 8, 5)",0.9744,25
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9742,25
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9742,25
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9738,25
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9741,25
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9731,25
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9749,25
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9738,25
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9737,25
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9734,25
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9736,25
"(5, 1, 2, 9, 6, 3, 8, 0, 4, 7)",0.9744,26
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9749,26
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9752,26
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9745,26
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9738,26
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9742,26
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9735,26
