coalition,value,iteration
"(8, 7, 6, 1, 0, 5, 4, 2, 9, 3)",0.9637,12
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9638,12
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9629,12
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9629,12
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9646,12
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.964,12
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9626,12
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9627,12
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9649,12
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9623,12
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9632,12
"(5, 6, 3, 1, 0, 4, 9, 7, 8, 2)",0.965,13
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9646,13
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9646,13
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9648,13
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9651,13
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9658,13
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9647,13
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9647,13
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9644,13
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9645,13
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9659,13
"(8, 9, 4, 3, 0, 5, 2, 7, 6, 1)",0.9666,14
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9665,14
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9664,14
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9663,14
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9664,14
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9671,14
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9663,14
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9675,14
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9667,14
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9667,14
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9674,14
"(6, 7, 9, 8, 2, 4, 5, 0, 1, 3)",0.9676,15
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9666,15
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9677,15
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9667,15
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9679,15
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9683,15
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9677,15
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9668,15
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9678,15
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.968,15
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.967,15
"(2, 6, 8, 7, 0, 3, 1, 9, 5, 4)",0.9696,16
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9701,16
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9683,16
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9691,16
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9687,16
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9704,16
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9692,16
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9702,16
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9691,16
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.969,16
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9691,16
"(2, 6, 3, 8, 7, 1, 0, 4, 5, 9)",0.9703,17
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9713,17
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9698,17
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9696,17
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9699,17
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9694,17
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9702,17
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9707,17
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.97,17
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9694,17
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.969,17
"(2, 8, 3, 7, 0, 9, 6, 1, 4, 5)",0.9718,18
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.972,18
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9717,18
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9711,18
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.972,18
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9719,18
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9708,18
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9711,18
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.972,18
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9709,18
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9713,18
"(0, 5, 9, 1, 6, 8, 4, 2, 7, 3)",0.9714,19
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.972,19
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9712,19
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9713,19
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9721,19
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9718,19
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9714,19
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9712,19
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.972,19
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9715,19
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9716,19
"(5, 2, 0, 9, 6, 3, 4, 1, 7, 8)",0.9719,20
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9716,20
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9725,20
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9726,20
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9721,20
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9718,20
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9723,20
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.972,20
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9728,20
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9717,20
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9718,20
"(1, 6, 9, 3, 2, 8, 0, 5, 4, 7)",0.9728,21
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9739,21
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.972,21
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9725,21
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9724,21
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9733,21
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9722,21
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9733,21
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9724,21
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9725,21
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9723,21
"(9, 7, 2, 6, 0, 5, 1, 3, 8, 4)",0.9738,22
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9733,22
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9735,22
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9744,22
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9736,22
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9742,22
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.974,22
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9742,22
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.974,22
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9735,22
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9735,22
"(1, 4, 5, 0, 3, 6, 9, 8, 7, 2)",0.9738,23
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9739,23
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9734,23
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9731,23
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9739,23
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9731,23
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9731,23
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.973,23
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9731,23
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9736,23
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.974,23
"(3, 8, 5, 2, 7, 9, 6, 1, 4, 0)",0.9743,24
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9736,24
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9739,24
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9736,24
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9744,24
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9739,24
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9735,24
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9736,24
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9741,24
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9738,24
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.974,24
"(3, 0, 7, 2, 4, 1, 6, 9, 8, 5)",0.9741,25
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9739,25
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9744,25
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.974,25
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9746,25
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9742,25
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.974,25
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9735,25
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9738,25
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9734,25
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9734,25
"(5, 1, 2, 9, 6, 3, 8, 0, 4, 7)",0.9742,26
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9737,26
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.975,26
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9755,26
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9745,26
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.974,26
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9742,26
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9734,26
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9748,26
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9733,26
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9746,26
"(8, 9, 6, 3, 7, 2, 5, 1, 4, 0)",0.9749,27
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9746,27
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9742,27
